,Country_name,UHC_index_service_coverage,UHC_newborn_and_child_health,UHC_Infectious_diseases,UHC_Non_communicable.diseases,UHC_Service_capacity_and_access,Year,Life_Ladder,Log_GDP_per_capita,Social_support,Healthy_life_expectancy_at_birth,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Positive_affect,Negative_affect,Confidence_in_national_government,Democratic_Quality,Delivery_Quality,Standard_deviation_of_ladder_by_country_year,Standard_deviation_Mean_of_ladder_by_country_year,GINI_index_estimate_average_2000-16,gini_of_household_income_by_wp5_year,Completeness_birth_registration_female(%),Completeness_birth_registration_male(%),GDP_per_capita_(constant 2010 US$),Gini_index(2017),Population_density(per_sq_km),Research_and_development_expenditure(%_of_GDP)
59,Kenya,55,71,49,69,39,2017,4.475654125,8.004040718,0.714604318,59.5,0.853394389,0.249233559,0.85400039,0.788452208,0.230210304,0.637862563,-0.643422961,-0.478327602,2.532363415,0.565808535,0.4365,0.521331966,..,..,1156.425297,..,88.24098289,..
60,Kuwait,76,83,76,57,95,2017,6.093905449,11.09027195,0.853491306,66.5,0.884181619,-0.039013941,NA,0.692071915,0.307320803,NA,-0.323726535,-0.11457786,2.355753183,0.386575282,NA,0.591861427,..,..,33359.42778,..,227.6149832,0.08118
61,Latvia,71,88,65,47,97,2017,5.977817535,10.12918186,0.895098746,66.5,0.699520111,-0.158590496,0.79837811,0.623312771,0.231753111,0.264000505,0.628388107,0.881660819,1.814803123,0.303589582,0.360333333,0.36218524,100,100,15429.70346,35.6,31.23589579,0.51012
62,Lebanon,73,74,73,57,93,2017,5.153989792,9.50058651,0.776583016,66.59999847,0.604554176,-0.072667308,0.910727262,0.515443921,0.243549213,0.217718095,-1.085361362,-0.661101758,1.929767609,0.374422073,0.318,0.326644003,..,..,6370.889082,..,665.8722385,..
63,Lesotho,48,77,46,57,28,2017,3.795300722,7.955478668,0.768551648,47.29999924,0.756505191,-0.153132945,0.796859443,0.746201754,0.255303085,0.695299149,-0.105936453,-0.368156135,2.843776941,0.749288976,0.529,0.59147799,..,..,1391.936531,44.9,68.88708827,..
64,Liberia,39,64,26,61,22,2017,4.424490929,6.623783588,0.684866846,55.29999924,0.733389914,0.035448756,0.866806388,0.667946458,0.39133054,0.554991543,-0.216689959,-0.992483616,3.393739939,0.767035127,0.3485,0.590849876,..,..,548.0105383,..,48.81881229,..
65,Libya,64,66,50,61,86,2017,5.646852493,9.791522026,0.822758794,62.29999924,0.778695881,-0.053038593,0.673065543,0.69704932,0.379374176,NA,-1.884452581,-1.840399504,2.507787943,0.444103688,NA,0.586069345,..,..,7085.812149,..,3.740025234,..
66,Lithuania,73,86,67,54,92,2017,6.272940636,10.2929678,0.926316619,66.69999695,0.749307334,-0.177641675,0.789709866,0.607613146,0.19511883,0.32124728,0.882906199,0.920204639,2.175804377,0.346855581,0.355,0.428504139,100,100,16855.4214,37.3,45.15186156,0.89808
67,Luxembourg,83,94,78,68,96,2017,7.061380863,11.45400238,0.905435503,72.59999847,0.90282172,0.039554782,0.330173582,0.765816867,0.184467003,0.73892206,1.42865932,1.774405956,1.424475908,0.201727673,0.316076923,0.292349696,100,100,109452.96,34.9,245.4057613,1.30327
68,Madagascar,28,55,11,64,15,2017,4.078620434,7.255901337,0.626331985,58.70000076,0.570347905,-0.029692357,0.847260773,0.751698077,0.374838024,0.541916132,-0.337169588,-0.934928179,2.328914881,0.571005523,0.43075,0.57831651,..,..,481.3831479,..,43.95073909,0.01465
69,Malawi,46,72,47,69,19,2017,3.416862965,6.998548031,0.555422723,56.90000153,0.847920775,0.017441062,0.734636605,0.608666539,0.312088341,0.620332539,-0.151014924,-0.610420644,2.760293245,0.807844281,0.427,0.57405597,..,..,512.6456123,..,187.4232075,..
70,Mali,38,50,42,64,15,2017,4.741850376,7.608029842,0.741359413,51.20000076,0.753213346,-0.067120329,0.862655163,0.741835773,0.392784148,0.504820108,-1.083188891,-0.730654597,2.511667967,0.529680967,0.372666667,0.549026549,..,..,766.480326,..,15.17173063,0.29175
71,Malta,82,93,79,66,92,2017,6.675665855,10.50543213,0.937331796,72.19999695,0.923642933,0.247621223,0.690494537,0.720753372,0.302443117,0.75200516,1.217456341,1.042565584,1.994550347,0.298779249,0.2911,0.41963762,100,100,27750.67676,29.2,1462.496875,0.58275
72,Mauritania,41,47,44,66,21,2017,4.678159714,8.188031197,0.77922523,56.70000076,0.527446806,-0.135666266,0.777314067,0.637107074,0.272321939,0.292109728,-0.709610879,-0.711579561,2.130549908,0.455424786,0.36875,NA,..,..,1715.610752,..,4.155015038,..
73,Mauritius,63,69,53,52,80,2017,6.174117565,9.918018341,0.910142243,66.09999847,0.912307501,0.077978596,0.818179905,0.747760177,0.168721184,0.614670753,0.892901719,0.69395721,2.247790575,0.36406669,0.3575,0.415626824,..,..,10199.47936,36.8,622.962069,0.36636
74,Mexico,76,83,71,72,80,2017,6.410299301,9.760567665,0.799839377,68,0.861405134,-0.204242066,0.800893068,0.842642307,0.230990887,0.25695315,-0.362546623,-0.330811292,2.236207247,0.348845989,0.4698,0.438771129,..,..,10301.35788,..,64.18751717,0.32829
75,Mongolia,62,82,37,56,89,2017,5.333850384,9.379310608,0.924250782,62.09999847,0.674627423,0.104439713,0.864952207,0.675165296,0.213599518,0.275058359,0.554071605,-0.283345133,2.095161676,0.392804742,0.334,0.389351517,..,..,3997.485874,..,2.004286284,0.13475
76,Montenegro,68,71,64,57,82,2017,5.614798546,9.705602646,0.881199837,68.30000305,0.625906289,-0.082077965,0.755680025,0.519128144,0.349785089,0.351549894,0.068295658,0.094668902,2.207511902,0.393159598,0.3094,0.352438509,..,..,7845.368126,..,46.2730855,0.34898
77,Morocco,70,73,73,67,70,2017,5.312482834,8.920658112,0.641193092,65.59999847,0.814258039,-0.227033943,0.840502441,0.559288204,0.322715908,NA,-0.53093636,-0.173838362,2.287168264,0.43052718,0.402666667,0.527966917,..,..,3305.41922,..,79.72505938,..
78,Mozambique,46,57,47,66,25,2017,4.279863358,7.035358906,0.678463697,53.20000076,0.822670519,-0.024964124,0.682108939,0.648381412,0.353176504,0.759234369,-0.699048221,-0.871083498,2.985019922,0.697456837,0.488666667,0.608845353,..,..,588.741022,..,36.43150512,..
79,Myanmar,61,71,62,65,48,2017,4.154341698,8.629019737,0.795183837,58.70000076,0.886011839,0.629576743,0.618821502,0.74564749,0.282285541,0.82417655,-0.974802852,-0.848311067,2.233865976,0.537718415,0.381,0.424162179,..,..,1482.662663,30.7,81.73972714,0.03186
80,Namibia,62,73,58,63,54,2017,4.441306114,9.163438797,0.82833904,56.20000076,0.810401857,-0.196625322,0.831302881,0.72067821,0.277252167,0.745853603,0.598779202,0.143256173,2.739773273,0.616884589,0.611333333,0.602735937,..,..,6013.293441,..,2.91829489,..
81,Nepal,48,74,58,62,20,2017,4.736692429,7.80090189,0.816383302,62.40000153,0.84514761,0.144506738,0.770177126,0.570577025,0.375977933,0.559578538,-0.448143601,-0.755725801,2.468453646,0.521134436,0.383,0.463746637,..,..,779.2039687,..,192.7249669,..
82,Netherlands,86,94,85,69,98,2017,7.458965302,10.78875256,0.936501324,72.19999695,0.920319736,0.244597197,0.363133639,0.852184892,0.184519842,0.669553638,1.242932796,1.899130225,1.318479896,0.176764444,0.286333333,0.44193548,100,100,53942.08509,28.5,508.4979519,1.98308
